Visit_ID,Communication,Cleanliness,Wait_Experience,Overall_Experience
eaaed708-7ad3-40eb-aa78-fc25cbab2307,5,2,3,1
4c3d8196-2acd-422f-b6c0-d762f6f46d0c,2,2,3,3
dfc5fe88-d96b-437f-9eba-e057b3de8a2e,4,1,4,2
8be3376c-6392-4b5b-b270-d4b26791b357,2,4,3,4
6b50238c-787a-4d61-934f-4a4647dcd764,1,3,5,1
0ac8ffc5-e13c-42c6-bd47-307ed58eda56,3,2,3,2
cc1194c1-aef9-4b94-a6ec-bfbc7dbbe3cb,2,4,3,4
a131f658-30f5-4f0c-9171-c1f580d41071,2,4,4,3
552a4a3d-2ae1-4bd5-acfe-da19dc5990be,2,5,3,2
dd03f109-c117-4624-8166-1a5367e5c781,2,2,3,5
4e00d71a-d8d0-4ae2-b73a-206eb1fff78f,5,4,2,4
89301715-6675-4238-baba-9a2560ea2927,3,5,5,5
23b04110-9ba2-4aab-8cfb-5a27294fed89,1,4,5,5
44a7d782-5c7c-4016-b997-37e226b0bc36,3,5,5,4
2c3b6a1e-bf10-44bb-8dd1-53af38e9c349,2,5,3,5
39326f46-11c3-44ca-8470-e05b3d3a4e12,5,5,5,4
ce56b0a7-e89b-4024-998c-5dc521cf0d28,1,4,2,5
f84132ca-db9e-4711-a7e6-0af753456c11,2,3,1,3
94c8f944-b92f-496a-9054-b78a9ee11362,2,1,1,3
fe0e579d-1efe-499d-8e81-bfaa415a82c1,4,5,2,2
c5b04dd7-eeb1-4b6f-8fbb-834bfd5c21a3,3,2,1,5
83c95927-82bf-4882-a4f0-4f6ec54448b2,3,1,1,3
b7edd91c-6ef6-4bb5-a2e3-ce4cf352f384,3,3,4,3
c2e1f688-c25f-4a28-a57f-a5af0b17cc66,4,1,3,3
31390f96-9b34-43ee-8483-ac3988c70055,5,1,4,1
546b0fc1-b229-453f-8697-df65e45051b5,5,3,4,5
50e9f79e-c177-4112-9a09-34d5fbd8f1cf,5,2,2,2
5cd2a135-3c60-47ce-9f15-b2af75e2089d,1,5,1,3
495ea456-2e84-4713-b84e-919a7b5ea461,4,4,2,4
2a4cbad2-5c94-4107-a9ee-b9397d7c9ee2,4,2,5,1
3a0ae7c4-c8b8-461b-9267-d2162189de87,5,2,4,5
a28304f9-8b27-4d09-b92b-a7a7ec47add8,5,5,1,2
1f8eddf1-1453-4bf3-ad4a-1a12a9ec6f33,5,2,3,3
e78fa65b-afdd-4c47-a120-f60110f22518,4,2,4,4
badd62af-9a54-4c0d-9b99-eb3f1095d6ed,5,1,1,1
a4576c17-7b2c-40da-bce5-fb7e41524e6c,3,1,5,4
62b123cf-7935-4a43-b404-7bd3ac1ca3d2,5,3,2,4
149f4641-cae1-49a8-9878-e527a8e737e9,3,3,1,1
6d4ba551-ddb8-43a6-aae6-91d270b313e7,2,3,1,4
ba1d88a8-0e1e-46ad-9b61-78cf700a0a43,2,4,4,3
44b42ed5-648a-4287-8bc9-a70e68df66ad,4,5,1,1
ec241a42-6339-470a-bb9f-4f2d790f6764,1,4,5,5
